SMILES,cluster,odour
C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O,3,False
C(=C(F)F)(C(F)(F)F)C(F)(F)F,3,False
C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],3,False
CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,2,False
C(C(C(F)(F)F)(F)Cl)(F)Cl,0,False
C12=C(C(=C(C(=C1Cl)Cl)Cl)Cl)C(=O)OC2=O,3,False
CCC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,8,False
C(=O)(N)NO,0,False
C1=CC(=CC=C1C(=O)OOC(=O)C2=CC=C(C=C2)Cl)Cl,7,False
C1=CC=C(C(=C1)C(=O)N)O,3,False
Clc1ccc(c(c1)Cl)[C@]1(OC[C@@H](O1)COc1ccc(cc1)N1CCN(CC1)C(C)C)Cn1cncn1,4,False
CC(=O)CCC1=CC2=C(C=C1)C=C(C=C2)OC,7,False
CC(C(=O)O)O,0,False
C1=CC(=CC=C1C(CC(=O)O)CN)Cl,5,False
C(C(=O)O)C(CC(=O)O)(C(=O)O)O,3,False
CCCCNC(=O)N,3,False
CCOC1=CC=C(C=C1)NC(=O)C,5,False
C1CN1P(=S)(N2CC2)N3CC3,1,False
CCCCCCCCOC(=O)C1=CC(=C(C(=C1)O)O)O,8,False
C(C(C(F)(F)Cl)(F)F)(F)Cl,0,False
CC1=CC=C(C=C1)S(=O)(=O)NC2CCCCC2,7,False
C(C(F)(F)Cl)Cl,0,False
CC[C@@H](C(=O)O[C@H]1C[C@@H](C)C=C2[C@H]1[C@@H](CC[C@@H]1C[C@@H](O)CC(=O)O1)[C@H](C=C2)C)C,4,False
CNCC(C1=CC(=C(C=C1)O)O)O,5,False
C(CO[N+](=O)[O-])O[N+](=O)[O-],0,False
OCC(C1OC(=C(C1=O)O)O)O,3,False
C1C(=O)NC(=O)NC1=O,0,False
C1=CC(=CC=C1N)S(=O)(=O)N,3,False
C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3,5,False
CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,7,False
CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C,2,False
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,1,False
CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,2,False
C1=CC(=O)NNC1=O,0,False
C(C(CO)([N+](=O)[O-])Br)O,3,False
CN(C)C(=O)NC1=CC=C(C=C1)OC2=CC=C(C=C2)Cl,7,False
CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,7,False
CN1C(=O)CN=C(C2=C1C=CC(=C2)[N+](=O)[O-])C3=CC=CC=C3F,2,False
C1=C(C(=O)NC(=O)N1)F,0,False
C(C(F)(F)Cl)(F)F,0,False
CC1(CC2=C(O1)C(=CC=C2)OC(=O)NC)C,7,False
CCNC1=NC(=NC(=N1)Cl)NC(C)C,5,False
C(CC(C(=O)O)N)CN=C(N)N,5,False
CC(COC(C)COC)O,5,False
C(C(F)(Cl)Cl)(F)F,0,False
C(C(F)(F)F)(C(F)(F)Cl)Cl,0,False
CC1(CC2=C(O1)C(=CC=C2)O)C,1,False
CC(F)F,0,False
CC1=C2C=CC3=CC=CC=C3C2=C(C4=CC=CC=C14)C,2,False
C(C(=O)O)O,0,False
C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,7,False
C1=CC=C2C(=C1)N=C(S2)N,3,False
C(C(=O)O)N(CC(=O)O)CC(=O)O,5,False
C1=CC(=CC=C1C(=O)O)Cl,3,False
C1=CC=C(C(=C1)C(=O)O)C(=O)O,3,False
C([C@@H](C(=O)O)N)C(=O)O,3,False
C(C(C(C(C(C=O)O)O)O)O)O,5,False
CC1=CN(C(=O)NC1=O)C2C=CC(O2)CO,7,False
CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],5,False
C(CC(=O)O)CO,0,False
C1=CC(=CN=C1)C(=O)O,0,False
C(C1C(C(C(C(=O)O1)O)O)O)O,3,False
CCCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl,2,False
C(F)F,0,False
CCOC1=CC=CC=C1C(=O)N,5,False
CCCC(C)(COC(=O)N)COC(=O)N,6,False
CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CCCCCC2,8,False
CC(CO)OCC(C)O,3,False
CC(C)C(C(=O)O)N,3,False
CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CCl,2,False
C(=CC(=O)O)C(=O)O,0,False
C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3,2,False
CC1=CC(=CC(=C1)OC(=O)NC)C(C)C,7,False
CCC1(C(=O)NC(=O)NC1=O)CCC(C)C,6,False
C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC6=CC=CC=C56)C=C3,2,False
CCOC(=O)N,0,False
ClC(Cl)(F)F,0,False
C(CO)C(CO)O,3,False
C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,7,False
CN(C)NC(=O)CCC(=O)O,5,False
CCC(C)N1C(=O)C(=C(NC1=O)C)Br,7,False
C1=CC=C(C=C1)N=NC2=CC=C(C=C2)N,5,False
C(C(C(F)(F)F)(F)F)(Cl)Cl,0,False
C1=NNC(=N1)N,0,False
CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,9,False
C(C#N)O,0,False
C1=CC=C2C(=C1)C=C3C=CC4=C5C3=C2C6=CC=CC=C6C5=CC=C4,2,False
CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CCl,2,False
CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2)F)C(=O)O,7,False
CC(CO)O,0,False
C(F)(F)(F)Br,0,False
C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2N)N)N,7,False
C(F)(F)(F)F,0,False
CC(C(=O)O)N,0,False
C(CC(C(=O)O)N)CNC(=O)N,5,False
C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,8,False
CC(F)(F)Cl,0,False
CC(C)(C)C(=O)C1C(=O)C2=CC=CC=C2C1=O,7,False
C1=CC(=NC(=C1Cl)C(=O)O)Cl,3,False
C(C(F)(F)F)Cl,0,False
C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O,7,False
CC(=O)NC1=CC=C(C=C1)O,3,False
CO,0,False
C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N,7,False
COC(=O)C1=CC=C(C=C1)C(=O)OC,5,False
CC1=CC(=CC(=C1O)[N+](=O)[O-])[N+](=O)[O-],3,False
CCCCCCCCCCCCCCCCCO,8,False
CCC(C)C(C(=O)O)N,3,False
C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,7,False
CC1=CC(=CC(=C1N(C)C)C)OC(=O)NC,7,False
CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N)C,7,False
CC(C)CC(C)(C#N)N=NC(C)(CC(C)C)C#N,8,False
C1=CC(=CC=C1C(=O)O)[N+](=O)[O-],3,False
C(C(=O)O)NCP(=O)(O)O,3,False
O=C=O,0,False
CN1C=NC2=C1C(=O)NC(=O)N2C,3,False
CC1=CC(NC2=CC=CC=C12)(C)C,1,False
CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,2,False
C=CCOC(=O)C1=CC=CC=C1C(=O)OCC=C,7,False
C(C(F)(F)F)(C(F)(F)F)(F)F,0,False
C(CCC(=O)O)CC(=O)O,3,False
CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC,2,False
CCOC(=O)C1=CC=C(C=C1)O,3,False
CCC(C)(C#N)N=NC(C)(CC)C#N,6,False
C12=C(NC(=O)N1)NC(=O)NC2=O,3,False
COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,2,False
CC(CC(=O)O)O,0,False
C1CN1C2=NC(=NC(=N2)N3CC3)N4CC4,5,False
CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,2,False
CCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCC,8,False
C1=CN=CC=C1C(=O)NN,3,False
C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)C3C(=O)C4=CC=CC=C4C3=O,2,False
C(CCl)C(F)(F)F,0,False
CC1(OCC(O1)CO)C,3,False
C(F)(F)F,0,False
CC(=O)OCCOCCOCCOC(=O)C,6,False
C(C(F)(F)F)(C(F)(Cl)Cl)F,0,False
CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,8,False
CC(=C)C1CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4C3=O)OC)OC,9,False
CCCCCCCCCCCCOC(=O)C1=CC(=C(C(=C1)O)O)O,8,False
CC,0,False
C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,2,False
CC(C(=O)O)OC1=C(C=C(C=C1)Cl)Cl,5,False
C(CCO)CO,0,False
C(C(C(F)(F)Cl)(F)Cl)(F)F,0,False
COc1c(OC)ncnc1NS(=O)(=O)c1ccc(cc1)N,7,False
CCC1(C(=O)NC(=O)NC1=O)CCC(C)C,6,False
C(C(C(F)(Cl)Cl)(F)F)(F)F,0,False
C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O,7,False
C(C(F)(F)Cl)(C(F)(F)Cl)F,0,False
C(C(F)(F)Cl)(F)Cl,0,False
CC(CCl)Br,0,False
C(=O)(C(=O)O)O,0,False
COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,5,False
C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O,3,False
C1(C(O1)(F)F)(C(F)(F)F)F,0,False
C=CC(=O)N,0,False
C1=C(C=C(C(=C1O)O)O)C(=O)O,3,False
C1=CC(=CC(=C1)N=NC2=C(C=C(C=C2)N)N)N=NC3=C(C=C(C=C3)N)N,2,False
C(C(CO)(CO)CO)O,3,False
C(C(F)(F)F)(F)(F)F,0,False
C(CCl)OP(=O)(OCCCl)OCCCl,7,False
CC1=CC=C(C=C1)C(=O)C2=CC(=C(C(=C2)O)O)[N+](=O)[O-],7,False
COc1cnc(nc1)NS(=O)(=O)c1ccc(cc1)N,7,False
C1=CC(=C(C(=C1)O)O)O,3,False
C1=CC(=C(C=C1N)C(=O)O)O,3,False
CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,2,False
C1=CC=C2C(=C1)C=CC=C2N=C=S,3,False
C1=CC2=NNN=C2C=C1,0,False
C1CC(OC1CO)N2C=CC(=NC2=O)N,5,False
C1=CC(=C(C=C1Cl)SC2=C(C=CC(=C2)Cl)O)O,7,False
C=CO,0,False
C1=CC=C(C(=C1)C(=O)O)N,3,False
C(=C(F)F)(F)F,0,False
CC1=CC(=C(C=C1)OC)N,3,False
C1=CC(=CC=C1CC2=CC=C(C=C2)N=C=O)N=C=O,7,False
CCC(CC)(C(=O)NC(=O)N)Br,5,False
CNC(=O)OC1=CC=CC2=CC=CC=C21,5,False
C(CC#N)C#N,0,False
C1=CC(=CC=C1N=C=S)N=C=S,3,False
CCCCCCCCN[C@@H]([C@H](c1ccc(cc1)SC(C)C)O)C,9,False
CC(C)CC(C(=O)O)N,3,False
CC(=O)NC1=NN=C(S1)S(=O)(=O)N,3,False
CC(C)(C)C1=NN=C(S1)N(C)C(=O)NC,7,False
C(CC(=O)OOC(=O)CCC(=O)O)C(=O)O,5,False
COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1,7,False
CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],2,False
C1=NNN=N1,0,False
C1=CC=C2C(=C1)C(=O)NS2(=O)=O,3,False
C(C(C(C(CO)O)O)O)O,3,False
C1CNP(=O)(OC1)N(CCCl)CCCl,7,False
C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O,7,False
CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)N=[N+]=[N-],7,False
C1=CC=C(C=C1)NC2=CC=C(C=C2)N,5,False
C1CCC(CC1)(O)OOC2(CCCCC2)OO,8,False
CNC1=C(C(=O)N(N=C1)C2=CC=CC(=C2)C(F)(F)F)Cl,7,False
C(C(C(F)(F)F)(Cl)Cl)(F)F,0,False
C(=N)(N)S(=O)O,0,False
C(C(C(CO)O)O)O,3,False
CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,7,False
C1N2CN3CN1CN(C2)C3,3,False
CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,7,False
CC(=O)NC1=NN=C(S1)S(=O)(=O)N,3,False
C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,7,False
C(COCCO)O,3,False
CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl,5,False
C(=C(F)F)(C(F)(F)F)F,0,False
C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,7,False
C,0,False
CN(C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],7,False
CC(=O)NC1=CC=CC=C1,3,False
CC12CCN(C1N(C3=C2C=C(C=C3)OC(=O)NC)C)C,2,False
C1=CC2=CC3=C(C(=CC=C3)O)C(=C2C(=C1)O)O,7,False
COc1ccc(nn1)NS(=O)(=O)c1ccc(cc1)N,7,False
CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N,7,False
CCOC(=O)C1=CC=C(C=C1)N,5,False
CC(CO)OCC(C)OCC(C)O,6,False
CC1=CC(=O)NS(=O)(=O)O1,3,False
CC(=O)NC1=CC=C(C=C1)C(=O)CCl,5,False
C(C1C(C(C(O1)(CO)O)O)O)O,1,False
CC(C)(C#N)C(C)(C)C#N,1,False
CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,2,False
C1CN2CCC1C(C2)OC(=O)C(C3=CC=CC=C3)(C4=CC=CC=C4)O,2,False
C1(=O)NC(=O)NC(=O)N1,0,False
C(C(CO)O)O,0,False
O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2C(=O)C)C)C,4,False
CCOCCOCCOCCO,5,False
CC1=CC=CC=C1N=NC2=CC(=C(C=C2)N)C,7,False
C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,3,False
C1=CC(=CC=C1N)OC2=CC=C(C=C2)N,5,False
CCCOC(=O)C1=CC(=C(C(=C1)O)O)O,5,False
C1=CC(=CC=C1C(CC(=O)O)CN)Cl,5,False
CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,2,False
C1C(O1)CO,0,False
C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl,3,False
CN1C2=C(C(=O)N(C1=O)C)NC=N2,3,False
O=C1C=C[C@]2([C@H](N1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2C(=O)NC(C)(C)C)C)C,4,False
C1=CN=CC=C1N,0,False
N(=O)OS(=O)(=O)O,0,True
N(Cl)(Cl)Cl,0,True
FS(F)(F)F,0,True
N(=O)[N+](=O)[O-],0,True
N=[N+]=[N-],0,True
O=S=O,0,True
BrBr,0,True
OS(=O)(=O)F,0,True
O=[Si]=O,0,False
I,0,True
P(Br)(Br)Br,0,True
OP(=O)(O)O,0,False
OS(=O)O,0,True
O=S(Cl)Cl,0,True
O=P(Cl)(Cl)Cl,0,True
F,0,True
N(=O)Cl,0,True
O,0,False
O=S(=O)(Cl)Cl,0,True
OS(=O)(=O)Cl,0,True
O=O,0,False
OO,0,True
O=P(Br)(Br)Br,0,True
O=S(=O)(F)F,0,False
S(SCl)Cl,0,True
F[Si](F)(F)F,0,True
P(=S)(Cl)(Cl)Cl,0,True
O(F)F,0,True
NS(=O)(=O)O,0,False
NO,0,False
[N-]=[N+]=O,0,True
N(=O)[O],0,True
O=S(=O)(OS(=O)(=O)Cl)Cl,0,True
NN,0,True
[SiH4],0,True
II,0,True
[N+](=O)(O)[O-],0,True
P(Cl)(Cl)Cl,0,True
[N+](=O)([N+](=O)[O-])[O-],0,True
N#N,0,False
N(F)(F)F,0,True
[Si](Cl)(Cl)(Cl)Cl,0,True
S(Cl)Cl,0,True
C=CC1=CC=CC=C1,3,True
C1=CC=C(C=C1)C#N,0,True
C1=CC=C(C=C1)CO,3,True
C1=CC=C(C=C1)C=O,0,True
C1=CC=C(C=C1)CS,3,True
COC1=CC=CC=C1,3,True
CCCCCCCCCCCC(=O)OC1=CC=C(C=C1)C,8,True
CCCCCCOC(=O)CC(C)C,6,True
COC(CC1=CC=CC=C1)OC,5,True
C1=CC=C(C=C1)CC2=CC=CC=C2,5,True
C1=CC=C(C=C1)OC2=CC=CC=C2,5,True
C1=CC=C(C=C1)CC(=O)OCC2=CC=CC=C2,7,True
CC(=O)OCC(COC(=O)C)OC(=O)C,5,True
CCCCC(CC)COC(=O)C,6,True
C1=CC=C(C=C1)COCC2=CC=CC=C2,5,True
C1=CC=C(C=C1)CC(=O)O,3,True
CCC(C)C(=O)OC,3,True
CCC(C)C(=O)OCC,3,True
CC1=CC=C(C=C1)CC=O,3,True
CCCCC1CCC(=O)O1,5,True
CCCCCC1CCC(=O)O1,5,True
CCCCCCCC1CCC(=O)O1,6,True
CCCCC(CC)CO,5,True
CCC1=CN=C(C=C1)C,3,True
CC1=CC=C(C=C1)OC,3,True
CC1CCCCCCCCCCCCC(=O)C1,8,True
CCC(=O)OCC,3,True
CC(=O)CC(=O)OC,3,True
CCC(C)OC(=O)C,3,True
CCCC(=O)OCC,3,True
CCOC(C)OCC,3,True
CCCC(=O)OCCC,3,True
CC1=CC(=C(C=C1)O)C,3,True
CCC(=O)OCCC(C)C,5,True
C1CCCCCC(=O)OCCOC(=O)CCCCC1,8,True
NCl,0,True
CC(CCC=C(C)C)CCO,6,True
CC(CCC=C(C)C)CC=O,5,True
CC(=CCCC(=CC=O)C)C,5,True
CCCC(=O)OCCC(C)C,5,True
CCCCCCC(=O)OCC,5,True
CCCC(=O)OC(=O)CCC,5,True
CCCCCCCC(=O)OCC,6,True
CCCCCCCCCCCC(=O)OCC,8,True
CCCOC(=O)CC,3,True
CC1=CC=C(C=C1)O,3,True
C1=CC(=CC=C1Cl)Cl,0,True
COC(=O)CCC(=O)OC,3,True
CCCCCC(=O)CC,5,True
CCCCCCC(=O)OC,5,True
C=CC=O,0,True
CCCS,0,True
CCCN,0,True
C=CCO,0,True
C#CCO,0,True
COC=O,0,True
CC(CCCC(C)(C)O)CC=O,6,True
CC(=CC=O)C,0,True
CCCC(=O)C,0,True
CCCC(=O)O,0,True
C(CS)S,0,True
CC(C)CCS,3,True
CCC(C)CC(=O)CC,5,True
CC1CCCCCCCCCCCCC(=O)C1,8,True
CCN=C=S,0,True
CC(C)(CCCC(=C)C=C)O,5,True
CCCCCC(C)O,5,True
CCCCSCCCC,5,True
CC1C2CC2(CC1=O)C(C)C,1,True
CC(=O)CCC1=CC=C(C=C1)O,5,True
CC(=O)C1=CC=CC=C1N,3,True
CCC(=O)OC,0,True
CCC(C)C(=O)OC,3,True
CC(C)CC(=O)OC,3,True
CN=C=S,0,True
CSC#N,0,True
CC(=CCO)C,0,True
CCC=CCCC=CC=O,5,True
CC1=CC(=C(O1)C)SC(=O)C2=CC=CO2,5,True
CCCC=CC=CC=O,3,True
CCCCC(CC)C(=O)O,5,True
CC(C)C(=O)C,0,True
C=CCN=C=S,0,True
C1=CC=C(C=C1)C=CC=O,3,True
CCCCC1=C(SC=N1)C,5,True
CC1=C(C(=CC=C1)C)O,3,True
